year,state_fips,logwork,treat
"2006","South Carolina",8.523771,0
"2006","New Jersey",8.42683,0
"2006","Kansas",9.540794,0
"2006","Connecticut",7.766417,0
"2006","Wyoming",7.741534,0
"2006","Tennessee",9.051813,0
"2006","Kentucky",9.256651,0
"2006","Indiana",9.333973,0
"2006","Minnesota",9.736488,0
"2006","Mississippi",8.830104,0
"2006","Iowa",9.576718,0
"2006","North Dakota",8.559103,0
"2006","Oklahoma",9.146335,0
"2006","Michigan",9.796181,0
"2006","New Hampshire",7.122867,0
"2006","North Carolina",9.997342,0
"2006","Idaho",9.65829,0
"2006","Utah",8.147288,0
"2006","New York",9.873389,0
"2006","New Mexico",8.778018,0
"2006","Pennsylvania",10.04919,0
"2006","California",12.27994,0
"2006","Wisconsin",10.03832,0
"2006","Georgia",9.747769,0
"2006","Nevada",7.861727,0
"2006","Texas",10.90502,0
"2006","Virginia",9.298809,0
"2006","Alabama",8.782476,0
"2006","Illinois",9.516795,0
"2006","Louisiana",8.621373,0
"2007","Utah",8.128881,0
"2007","Iowa",9.593355,0
"2007","Pennsylvania",9.724002,0
"2007","Alabama",9.043814,0
"2007","South Carolina",8.538172,0
"2007","New Mexico",8.777247,0
"2007","Indiana",9.273878,0
"2007","Louisiana",8.430763,0
"2007","Wisconsin",10.07736,0
"2007","New York",9.767897,0
"2007","Idaho",9.495143,0
"2007","Nevada",7.249926,0
"2007","Texas",10.73555,0
"2007","North Carolina",9.895808,0
"2007","Mississippi",8.836519,0
"2007","Virginia",9.263028,0
"2007","Illinois",9.561701,0
"2007","Oklahoma",9.442959,0
"2007","Connecticut",7.430707,0
"2007","North Dakota",8.394799,0
"2007","New Hampshire",6.700731,0
"2007","Georgia",9.6278,0
"2007","Kansas",9.193194,0
"2007","California",12.37667,0
"2007","Minnesota",9.701677,0
"2007","Michigan",9.995748,0
"2007","Tennessee",9.16094,0
"2007","Kentucky",9.391077,0
"2007","Wyoming",7.604396,0
"2007","New Jersey",8.84549,0
"2008","Texas",10.74901,0
"2008","Tennessee",9.228475,0
"2008","Indiana",9.346618,0
"2008","Kansas",9.21662,0
"2008","Nevada",7.648263,0
"2008","Iowa",9.649627,0
"2008","Virginia",9.503084,0
"2008","California",12.39882,0
"2008","Wisconsin",9.763018,0
"2008","Pennsylvania",9.99479,0
"2008","North Carolina",10.14953,0
"2008","New Jersey",8.048788,0
"2008","Kentucky",9.217316,0
"2008","Wyoming",7.971086,0
"2008","Mississippi",8.799511,0
"2008","Alabama",8.678121,0
"2008","Connecticut",7.875119,0
"2008","Oklahoma",9.335386,0
"2008","Georgia",9.936439,0
"2008","Michigan",10.15999,0
"2008","North Dakota",8.785692,0
"2008","New Mexico",9.082394,0
"2008","New York",9.757247,0
"2008","Minnesota",9.660779,0
"2008","Idaho",9.648595,0
"2008","Utah",8.600062,0
"2008","Louisiana",8.794825,0
"2008","New Hampshire",6.84588,0
"2008","Illinois",9.703572,0
"2008","South Carolina",8.454467,0
"2009","Wyoming",7.956827,0
"2009","California",12.47952,0
"2009","Alabama",9.011035,0
"2009","Indiana",9.521935,0
"2009","Virginia",9.170976,0
"2009","Mississippi",8.922791,0
"2009","North Dakota",8.64453,0
"2009","Kentucky",9.467073,0
"2009","Michigan",10.35485,0
"2009","Texas",10.86929,0
"2009","Idaho",9.499197,0
"2009","New Mexico",8.878636,0
"2009","Nevada",7.224025,0
"2009","Iowa",9.758982,0
"2009","Kansas",9.384126,0
"2009","Utah",8.343554,0
"2009","Oklahoma",9.30656,0
"2009","New Hampshire",7.133296,0
