"county_fips","lon","lat","area_ha_2001","developed_ha_2001","wetland_ha_2001","wetland_herb_ha_2001","wetland_woody_ha_2001","wetland_riparian_250_ha_2001","wetland_riparian_500_ha_2001","wetland_riparian_750_ha_2001","wetland_riparian_1000_ha_2001","wetland_riparian_1250_ha_2001","wetland_riparian_1500_ha_2001","area_ha_2016","developed_ha_2016","wetland_ha_2016","wetland_herb_ha_2016","wetland_woody_ha_2016","wetland_riparian_250_ha_2016","wetland_riparian_500_ha_2016","wetland_riparian_750_ha_2016","wetland_riparian_1000_ha_2016","wetland_riparian_1250_ha_2016","wetland_riparian_1500_ha_2016","claims_2001_5yr","CRS_2001_5yr","claims_2016_5yr","CRS_2016_5yr","population_2000","income_2000","housing_units_2000","housing_value_2000","population_2016","income_2016","housing_units_2016","housing_value_2016","wetland_2001_2016","wetland_gain","wetland_loss","claims_2001_2016","developed_2001_2016","income_2001_2016","population_2001_2016","housing_units_2001_2016","housing_value_2001_2016","CRS_2001_2016","state_fips","developed_2001_bin1","developed_2001_bin2","developed_2001_bin3","developed_2001_bin4","developed_2016_bin1","developed_2016_bin2","developed_2016_bin3","developed_2016_bin4","developed_2001_2016_bin1","developed_2001_2016_bin2","developed_2001_2016_bin3","developed_2001_2016_bin4","developed_2001_spline1","developed_2001_spline2","developed_2001_spline3","developed_2001_spline4","developed_2016_spline1","developed_2016_spline2","developed_2016_spline3","developed_2016_spline4","developed_2001_2016_spline1","developed_2001_2016_spline2","developed_2001_2016_spline3","developed_2001_2016_spline4","policies_2001","policies_2016","policies_2001_2016"
"01001",-86.6464395,32.5322367,156536.263058824,2647.43682352941,16386.1697647059,1299.35329411765,15086.8164705882,9282.66811764706,13243.842,15054.564,15873.114,16238.8397647059,16337.5697647059,156536.263058824,3268.06270588235,16315.2208235294,1501.65176470588,14813.5690588235,9200.10917647059,13168.5730588235,14979.7450588235,15803.8750588235,16168.3408235294,16266.6208235294,68641.654,2,37749.316,2.13333333333333,43671,42013,17662,82500,55200,58786,23315,147900,-70.9489411764716,0,-70.9489411764716,-30892.338,620.625882352941,16773,11529,5653,65400,0.133333333333334,"01",0,0,1,0,0,0,1,0,0,0,0,0,0.69278814535728,-0.115951353483453,0.237848419748886,-0.119590075100039,0.854895211024584,-0.0490005393303595,0.110232547256239,-0.055411564876354,0.162107065667304,0.0669508141530935,-0.127615872492648,0.0641785102236853,22.8,17.4,-5.4
"01003",-87.7460666,30.6592183,525067.088823529,10034.2937647059,124324.929529412,9411.48741176471,114913.442117647,46784.1342352941,75682.6651764706,95231.2888235294,107780.057294118,115414.705764706,119778.598588235,525067.088823529,13860.1037647059,124054.520470588,12548.9841176471,111505.536352941,46715.9551764706,75523.2261176471,95022.1697647059,107534.128235294,115156.446705882,119513.679529412,702027.032,4.49527600059515,9091173.876,8.96013411204845,140415,40250,74285,105300,208107,55962,111945,189800,-270.409058823527,0,-270.409058823527,8389146.844,3825.81,15712,67692,37660,84500,4.4648581114533,"01",0,0,0,1,0,0,0,1,0,0,0,0,0.920517510806554,0.0655246581716848,0.0263487412362586,-0.0123909102144973,0.883646689688167,0.0951094073000302,0.038582768769085,-0.0173388657572818,-0.0368708211183872,0.0295847491283454,0.0122340275328264,-0.00494795554278446,5827.4,2895,-2932.4
"01005",-85.4051035,31.8702531,234267.645176471,2397.45458823529,18676.8561176471,413.482235294118,18263.3738823529,7235.46847058823,11667.9236470588,14799.2615294118,16631.7070588235,17620.8487058824,18223.2688235294,234267.645176471,2480.88458823529,18702.1362352941,384.589058823529,18317.5471764706,7257.5085882353,11696.1737647059,14819.4116470588,16650.7771764706,17640.5488235294,18245.7589411765,0,0,125789.542,0,29038,25101,12461,57200,25782,34186,11937,92900,25.2801176470566,25.2801176470566,0,125789.542,83.4300000000003,9085,-3256,-524,35700,0,"01",0,1,0,0,0,0,1,0,0,-1,1,0,0.601030132562616,-0.15260796271856,0.309612319398608,-0.155672951608675,0.633566087913702,-0.139794678741782,0.284232351998568,-0.142880801829763,0.0325359553510867,0.0128132839767777,-0.0253799674000396,0.0127921497789119,20.4,1.8,-18.6
"01007",-87.1271475,33.0158929,162174.829058823,1037.05341176471,9887.63894117647,269.206235294118,9618.43270588235,4589.00470588235,6976.99164705883,8421.49447058824,9149.58494117647,9535.49894117647,9703.27235294118,162174.829058823,1214.70564705882,9852.81211764706,273.834,9578.97811764706,4582.03270588235,6956.15964705883,8391.57247058824,9115.16294117647,9499.18694117647,9666.42035294118,0,0,0,0,20826,31420,8345,57400,22527,45340,9161,96500,-34.8268235294126,0,-34.8268235294126,0,177.652235294118,13920,1701,816,39100,0,"01",1,0,0,0,0,1,0,0,-1,1,0,0,0.0729100010276312,-0.262061447267468,0.527074092081224,-0.265012644813756,0.117140414304783,-0.276636384794492,0.556265847235773,-0.279629358627681,0.0442304132771518,-0.0145749375270237,0.0291917551545485,-0.0146167138139248,5.8,4,-1.8
"01009",-86.56644,33.9773575,168511.548352941,2709.71541176471,889.302,131.976,757.326,472.069411764706,660.189882352941,756.182823529412,807.672,851.232,882.822,168511.548352941,3060.70376470588,887.226705882353,141.951882352941,745.274823529412,473.864117647059,661.084588235294,755.277529411765,805.056705882353,848.436705882353,880.386705882353,3710.846,0,105352.036,0,51024,35241,21158,76900,57645,48695,24222,124700,-2.07529411764699,0,-2.07529411764699,101641.19,350.988352941177,13454,6621,3064,47800,0,"01",0,0,1,0,0,0,1,0,0,0,0,0,0.713108306670789,-0.107735990603351,0.221916893547516,-0.111579687411439,0.810326284691018,-0.0679304674969643,0.145507074140614,-0.0731444607195836,0.0972179780202294,0.0398055231063871,-0.0764098194069015,0.0384352266918554,6.4,2.6,-3.8
"01011",-85.7172613,32.1017589,161908.157294118,873.193058823529,19750.9182352941,561.953294117647,19188.9649411765,7863.77752941176,13151.3498823529,16306.8998823529,18014.5327058824,18633.9645882353,18985.4922352941,161908.157294118,904.513058823529,19720.0408235294,547.425882352941,19172.6149411765,7841.83270588235,13121.3724705882,16275.5724705882,17981.3152941177,18599.0371764706,18954.0748235294,0,0,0,0,11714,20605,4727,54000,10352,32152,4526,77500,-30.8774117647081,0,-30.8774117647081,0,31.3200000000001,11547,-1362,-201,23500,0,"01",1,0,0,0,1,0,0,0,0,0,0,0,0.043522572242403,-0.237752921043442,0.478183289855424,-0.240430368811981,0.0483758105188306,-0.243183807361176,0.488998567457341,-0.245814760096164,0.00485323827642763,-0.005430886317734,0.0108152776019173,-0.00538439128418328,6.2,0.4,-5.8
"01013",-86.6819689,31.751667,201469.071529412,1431.15176470588,19644.5103529412,1098.01729411765,18546.4930588235,6598.07435294118,11629.9072941176,15320.3668235294,17496.0409411765,18563.9650588235,19089.7503529412,201469.071529412,1572.18176470588,19422.8936470588,591.782470588235,18831.1111764706,6571.20176470588,11545.1647058824,15193.9542352941,17337.0642352941,18381.5883529412,18891.3536470588,0,0,0,0,21399,24791,9957,48600,20025,39109,10026,88300,-221.616705882352,0,-221.616705882352,0,141.03,14318,-1374,69,39700,0,"01",0,1,0,0,0,1,0,0,0,0,0,0,0.18849839031711,-0.277138494992579,0.557425860801352,-0.280273502109047,0.243021331077584,-0.269114168361001,0.54123438366899,-0.272073190048751,0.0545229407604738,0.00802432663157732,-0.0161914771323616,0.00820031206029576,8.8,0.2,-8.6
"01015",-85.8225133,33.7717061,158582.398941177,7770.61729411765,1328.35411764706,101.870117647059,1226.484,879.732705882353,1116.84564705882,1235.47411764706,1287.04411764706,1307.20411764706,1315.93411764706,158582.398941177,8742.80823529412,1419.43235294118,244.17,1175.26235294118,947.514705882353,1201.27764705882,1323.40235294118,1375.87235294118,1397.02235294118,1405.75235294118,6481.216,0,9465.984,0,112249,31768,51322,65700,115098,45197,53682,113800,91.0782352941178,91.0782352941178,0,2984.768,972.190941176471,13429,2849,2360,48100,0,"01",0,0,0,1,0,0,0,1,0,0,0,0,0.945605548284213,0.0450782889832227,0.0180310841114996,-0.00871492137893551,0.937260184233899,0.0518952835776187,0.0208023427850078,-0.00995781059652511,-0.00834536405031439,0.006816994594396,0.00277125867350821,-0.0012428892175896,217.8,42.4,-175.4
"01017",-85.3940321,32.9155039,156204.110470588,2654.24894117647,7637.13176470588,185.719411764706,7451.41235294118,4926.60141176471,6235.67011764706,6939.83011764706,7340.88882352941,7522.26847058824,7601.37847058824,156204.110470588,2848.69023529412,7622.29552941176,162.27,7460.02552941177,4928.59517647059,6234.51388235294,6931.29388235294,7328.39258823529,7509.41223529412,7586.54223529412,130190.544,0,17487.322,0,36583,29667,16256,56700,33826,39872,16981,88400,-14.8362352941185,0,-14.8362352941185,-112703.222,194.441294117647,10205,-2757,725,31700,0,"01",0,0,1,0,0,0,1,0,0,0,0,0,0.695058755045439,-0.115035380821365,0.236068943677655,-0.118695353371285,0.755117218440965,-0.0907860912624675,0.18898597965479,-0.0950012520573307,0.0600584633955265,0.024249289558898,-0.0470829640228645,0.0236941013139543,20.6,2.2,-18.4
"01019",-85.6542417,34.0695153,155393.918117647,2460.35364705882,2462.94211764706,368.673176470588,2094.26894117647,1703.59870588235,2175.50541176471,2355.87635294118,2433.75247058824,2458.04011764706,2462.45011764706,155393.918117647,2627.75364705882,2638.48552941177,387.684352941176,2250.80117647059,1783.67258823529,2310.47929411765,2512.24729411765,2603.35341176471,2632.14105882353,2638.17105882353,0,0,22193.79,0,23988,30874,14025,63500,25853,41014,16531,123100,175.543411764706,175.543411764706,0,22193.79,167.400000000001,10140,1865,2506,59600,0,"01",0,1,0,0,0,0,1,0,0,-1,1,0,0.625682128270369,-0.14282577516655,0.290367657221167,-0.145996743085405,0.686246335382344,-0.118720633158835,0.243013299855998,-0.122160379961801,0.0605642071119745,0.0241051420077148,-0.0473543573651685,0.023836363123604,3.2,8.6,5.4
